# dem_manifest.csv -- whole-tile split assignment for the LB-DLPU benchmark
# One tile per line. tile = Copernicus GLO-30 lower-left degree code
# (file = Copernicus_DSM_COG_10_<tile>_DEM.tif). split is a HARD partition:
# no tile appears in more than one split -> terrain leakage is impossible.
# 17 train / 5 val / 7 test = 29 tiles, spanning tectonic/volcanic/glacial/
# vegetated/arid regimes.
tile,split,region,regime
N36_00_W121_00,train,San Andreas creeping,tectonic-arid
N35_00_W118_00,train,Ridgecrest / ECSZ,tectonic
N37_00_W119_00,train,Sierra Nevada,glacial-relief
N27_00_E086_00,train,Himalaya / Everest,extreme-relief
N35_00_E026_00,train,Crete,tectonic-coastal
N38_00_E038_00,train,East Anatolia fault,tectonic
N45_00_E006_00,train,French Alps,glacial
N46_00_W122_00,train,Cascades volcanoes,volcanic
N19_00_W156_00,train,Hawaii / Kilauea,volcanic-basalt
N01_00_E037_00,train,Kenya rift,tectonic-arid
S17_00_W071_00,train,Peru Altiplano,arid-high
N23_00_E120_00,train,Taiwan,tectonic-vegetated
N60_00_W140_00,train,St. Elias / Hubbard,glacial
N31_00_E103_00,train,Longmenshan,tectonic-steep
N09_00_W084_00,train,Costa Rica,volcanic-vegetated
N64_00_W019_00,train,Iceland,volcanic-glacial
N28_00_E084_00,train,Nepal midlands,vegetated-relief
N40_00_E029_00,val,Sea of Marmara / Sindirgi,tectonic
N44_00_E007_00,val,Maritime Alps,glacial
N02_00_E102_00,val,Sumatra,vegetated-volcanic
S23_00_W068_00,val,Atacama,arid-extreme
N35_00_W084_00,val,Great Smokies,vegetated-temperate
N63_00_W150_00,test,Denali,glacial-tectonic
N35_00_E051_00,test,Alborz / Tehran,tectonic-arid
N10_00_E077_00,test,Western Ghats,vegetated
N44_00_W110_00,test,Yellowstone,volcanic-caldera
N08_00_W072_00,test,Northern Andes,steep-vegetated
N56_00_W130_00,test,BC Coast Mountains,glacial-vegetated
N19_00_W100_00,test,Mexico City,subsidence-basin
